,RT,Intervals
0,0.2766592469997704,1.5695
1,0.24859465099871159,1.9036
2,0.28566664198297076,1.1063
3,0.2528346420149319,1.9259
4,0.3025321589957457,1.1284
5,0.27171826802077703,1.7272
6,0.2457265380071476,1.8928
7,0.2779446359782014,1.4259
8,0.29975622799247503,1.3876
9,0.2564031909860205,1.7999
10,0.3100992409745231,1.0605
11,0.27519495302112773,1.8352
12,0.32364357699407265,1.4678
13,0.28166585697908886,1.213
14,0.25141297199297696,1.6681
15,0.2658380320062861,1.4206
16,0.25396774100954644,1.7688
17,0.25786198501009494,1.7804
18,0.25668906298233196,1.441
19,0.29161375301191583,1.109
20,0.2576360760140233,1.9412
21,0.26565891699283384,1.5735
22,0.24485810901387595,1.8534
23,0.2840201939980034,1.516
24,0.2849989359965548,1.9937
25,0.3079969130048994,1.6412
26,0.288349690992618,1.4084
27,0.2817657839914318,1.1812
28,0.42788149300031364,1.2386
29,0.2871008049987722,1.7414
30,0.2579976820270531,1.4828
31,0.2606338659825269,1.9497
32,0.24546462699072435,1.5601
33,0.24424745197757147,1.8502
34,0.24748624398489483,1.6973
35,0.2984827990003396,1.3363
36,0.27630356399458833,1.4785
37,0.27214074501534924,1.8895
38,0.2782357230025809,1.0532
39,0.27009847899898887,1.814
40,0.2794813600194175,1.1663
41,0.2776405460026581,1.1038
42,0.26706166798248887,1.5919
43,0.2628554359835107,1.5822
44,0.29292336700018495,1.5221
45,0.2696585939847864,1.6274
46,0.27508752499124967,1.2343
47,0.2302201250276994,1.2011
48,0.2519954099843744,1.9596
49,0.2527404199936427,1.5801
